Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply,52 Week Range,Day Chart
BTC-USD,Bitcoin USD,"20,443.76","-2,309.85",-10.15%,389.821B,42.433B,42.433B,42.433B,19.068M,,
ETH-USD,Ethereum USD,"1,064.20",-163.00,-13.28%,128.958B,25.519B,25.519B,25.519B,121.179M,,
USDT-USD,Tether USD,0.998435,-0.000295,-0.03%,70.76B,68.143B,68.143B,68.143B,70.871B,,
USDC-USD,USD Coin USD,1.0003,-0.0001,-0.01%,54.143B,7.6B,7.6B,7.6B,54.128B,,
BNB-USD,Binance Coin USD,203.44,-24.10,-10.59%,33.217B,1.626B,1.626B,1.626B,163.277M,,
BUSD-USD,Binance USD USD,1.0018,+0.0004,+0.04%,17.473B,6.348B,6.348B,6.348B,17.442B,,
ADA-USD,Cardano USD,0.452051,-0.058118,-11.39%,15.252B,1.68B,1.68B,1.68B,33.739B,,
XRP-USD,XRP USD,0.301486,-0.015759,-4.97%,14.575B,1.537B,1.537B,1.537B,48.343B,,
SOL-USD,Solana USD,27.19,-3.39,-11.10%,9.303B,1.774B,1.774B,1.774B,342.21M,,
DOT-USD,Polkadot USD,6.9429,-0.5098,-6.84%,6.857B,605.705M,605.705M,605.705M,987.579M,,
DAI-USD,Dai USD,0.999837,-0.000500,-0.05%,6.851B,608.39M,608.39M,608.39M,6.852B,,
DOGE-USD,Dogecoin USD,0.050853,-0.006214,-10.89%,6.747B,697.638M,697.638M,697.638M,132.671B,,
HEX-USD,HEX USD,0.031996,-0.001323,-3.97%,5.549B,9.513M,9.513M,9.513M,173.411B,,
WBTC-USD,Wrapped Bitcoin USD,"20,436.28","-2,275.67",-10.02%,5.527B,489.457M,489.457M,489.457M,"270,451",,
LEO-USD,UNUS SED LEO USD,5.3271,-0.0354,-0.66%,5.082B,7.146M,7.146M,7.146M,953.954M,,
WTRX-USD,Wrapped TRON USD,0.048584,-0.013193,-21.36%,4.94B,15.052M,15.052M,15.052M,101.676B,,
TRX-USD,TRON USD,0.048686,-0.013181,-21.30%,4.505B,1.772B,1.772B,1.772B,92.53B,,
SHIB-USD,SHIBA INU USD,0.00000770,-0.00000067,-7.95%,4.23B,378.293M,378.293M,378.293M,549.063T,,
YOUC-USD,yOUcash USD,0.499874,-0.000106,-0.02%,4.208B,1.095M,1.095M,1.095M,8.417B,,
AVAX-USD,Avalanche USD,14.96,-1.85,-11.00%,4.204B,660.935M,660.935M,660.935M,280.993M,,
STETH-USD,Lido stETH USD,"1,001.99",-170.64,-14.55%,3.495B,5.552M,5.552M,5.552M,3.488M,,
FTT-USD,FTX Token USD,21.92,-2.31,-9.52%,2.975B,115.921M,115.921M,115.921M,135.712M,,
LTC-USD,Litecoin USD,42.33,-2.52,-5.62%,2.985B,881.753M,881.753M,881.753M,70.508M,,
MATIC-USD,Polygon USD,0.373367,-0.069152,-15.63%,2.971B,472.015M,472.015M,472.015M,7.956B,,
LINK-USD,Chainlink USD,6.0443,-0.2979,-4.70%,2.823B,909.176M,909.176M,909.176M,467.01M,,
